Feature,Coefficient,Absolute_Coefficient
num__Pressure3pm,-1.3653062535840694,1.3653062535840694
num__Humidity3pm,1.1774941908287448,1.1774941908287448
num__Pressure9am,0.9623095286660868,0.9623095286660868
cat__Location_Townsville,-0.8260970169458223,0.8260970169458223
cat__Location_MountGinini,-0.8153398171297079,0.8153398171297079
cat__Location_Darwin,-0.8052108824679403,0.8052108824679403
cat__Location_Wollongong,-0.7093901399313622,0.7093901399313622
num__WindGustSpeed,0.7036241292337749,0.7036241292337749
cat__Location_Adelaide,0.6550079568083593,0.6550079568083593
cat__Location_Perth,0.5403742002592424,0.5403742002592424
cat__Location_Witchcliffe,0.5380205305538445,0.5380205305538445
cat__Location_Hobart,-0.5289931507654615,0.5289931507654615
cat__Location_Albury,0.518525044987897,0.518525044987897
cat__Location_SalmonGums,0.49196561538276834,0.49196561538276834
cat__Location_NorahHead,-0.4908374995278077,0.4908374995278077
cat__Location_MelbourneAirport,-0.4682387664744966,0.4682387664744966
cat__Location_Katherine,-0.46361250175805513,0.46361250175805513
cat__Location_Penrith,0.4428690747610763,0.4428690747610763
num__MaxTemp,-0.4314735457619121,0.4314735457619121
cat__Location_Brisbane,0.3846814610347087,0.3846814610347087
cat__Location_Williamtown,0.38440451699580097,0.38440451699580097
cat__Location_PerthAirport,0.37490402551786545,0.37490402551786545
cat__RainToday_No,-0.37151172123687703,0.37151172123687703
cat__Location_PearceRAAF,0.3629969609365951,0.3629969609365951
cat__Location_Tuggeranong,0.35781347561187515,0.35781347561187515
cat__WindDir3pm_NNW,0.3398926439929996,0.3398926439929996
cat__Location_Cobar,0.33900237919776083,0.33900237919776083
cat__Location_GoldCoast,-0.33590899768346305,0.33590899768346305
num__Sunshine,-0.3082580103653701,0.3082580103653701
cat__Location_NorfolkIsland,-0.30763251025812044,0.30763251025812044
cat__WindDir3pm_NW,0.30749421340436733,0.30749421340436733
cat__Location_WaggaWagga,0.2994657527506387,0.2994657527506387
cat__WindDir9am_S,-0.29473413085936284,0.29473413085936284
cat__WindDir9am_SSE,-0.289822347886979,0.289822347886979
